Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S154231485,Ánade azulón,Anas platyrhynchos,515,4,ES-MD,,L11666875,Corredor Ambiental Somontes - El Pardo,40.4991876,-3.7626662,2023-11-11,09:08 AM,eBird - Traveling Count,279,1,5.54,,25,,,"Curso SEO/BirdLife - Iniciación a la ornitología.    ☁️  Nubes - muy nuboso  Temperatura: 14 - 17°C  Viento: Tirando a fuerte  - moderado   Viento procedente del: SO  Nubosidad: 75 - 100%  Humedad: 84 - 92%  Presión: 1017 hPa  Salida del sol: 7:56am  Puesta del sol: 6:01pm  Datos generados por <a href=""https://raincrow.netlify.app/"">RainCrow</a>"
S160494004,Ánade azulón,Anas platyrhynchos,515,3,ES-MD,,L11666875,Corredor Ambiental Somontes - El Pardo,40.4991876,-3.7626662,2024-02-03,02:23 PM,eBird - Traveling Count,81,1,1.59,,2
S160511495,Ánade azulón,Anas platyrhynchos,515,4,ES-MD,,L11666875,Corredor Ambiental Somontes - El Pardo,40.4991876,-3.7626662,2024-02-03,03:46 PM,eBird - Traveling Count,55,1,1.64,,2
S154357181,Ánade azulón,Anas platyrhynchos,515,15,ES-MD,,L4373704,Madrid--Parque Forestal Valdebebas,40.4908589,-3.6325693,2023-11-12,09:05 AM,eBird - Traveling Count,291,1,6.31,,25,,,"Curso SEO/BirdLife - Iniciación a la ornitología.    &#x1f324;  Algo de nubes  Temperatura: 13 - 19°C  Viento: Viento flojo  - moderado   Viento procedente del: SO  Nubosidad: 20%  Humedad: 65 - 92%  Presión: 1021 - 1022 hPa  Salida del sol: 7:56am  Puesta del sol: 6:00pm  Datos generados por <a href=""https://raincrow.netlify.app/"">RainCrow</a>"
S185571398,Ánade azulón,Anas platyrhynchos,515,5,ES-MD,,L11663563,Monte el Pardo,40.496882,-3.7597806,2024-07-06,08:11 AM,eBird - Traveling Count,97,1,2.55,,2
S157064189,Ánade azulón,Anas platyrhynchos,515,16,ES-NC,,L23003903,"Pamplona--Pamplona--Parque Fluvial del Arga, Amaya",42.818897,-1.6273129,2023-12-25,11:26 AM,eBird - Traveling Count,70,1,2.03,,2
S155665752,Ánade azulón,Anas platyrhynchos,515,9,ES-NC,,L3906530,"Pamplona--Parque Fluvial del Arga, La Runa",42.8239718,-1.644119,2023-12-03,11:48 AM,eBird - Traveling Count,56,1,1.17,,2
S170558475,Ánade azulón,Anas platyrhynchos,515,23,ES-NC,,L3906530,"Pamplona--Parque Fluvial del Arga, La Runa",42.8239718,-1.644119,2024-04-27,05:09 PM,eBird - Traveling Count,83,1,3.17,,2
S157065515,Ánade azulón,Anas platyrhynchos,515,17,ES-NC,,L4005318,"Pamplona--Parque Fluvial del Arga, pasarelas",42.818332,-1.6361931,2023-12-25,12:38 PM,eBird - Traveling Count,43,1,1.19,,2
S156993085,Ánade azulón,Anas platyrhynchos,515,30,ES-NC,,L4374881,"Pamplona--Parque fluvial del Arga, Alemanes",42.8294326,-1.6381913,2023-12-24,11:53 AM,eBird - Traveling Count,94,1,2.04,,2
S161961671,Ánade azulón,Anas platyrhynchos,515,2,ES-MD,,L8894713,San Blas-Canillejas--Lagunas de Ambroz,40.4150302,-3.6031695,2024-02-18,10:07 AM,eBird - Traveling Count,139,1,2.12,,2
S155951951,Porrón europeo,Aythya ferina,631,30,ES-AN,Málaga,L11138163,Fuente de Piedra--Laguna dulce,37.1316372,-4.7398479,2023-12-08,03:57 PM,eBird - Stationary Count,37,1,,,2
S161961671,Porrón europeo,Aythya ferina,631,4,ES-MD,,L8894713,San Blas-Canillejas--Lagunas de Ambroz,40.4150302,-3.6031695,2024-02-18,10:07 AM,eBird - Traveling Count,139,1,2.12,,2
